Entry	Entry name	Status	Protein names	Gene names	Organism	Taxonomic lineage (ALL)	Taxonomic lineage (GENUS)	Taxonomic lineage IDs
A0A1I5V727	A0A1I5V727_9FIRM	unreviewed	Translational regulator CsrA	csrA SAMN05444406_1104	Caldicoprobacter faecalis	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Caldicoprobacteraceae, Caldicoprobacter, Caldicoprobacter faecalis	Caldicoprobacter	937334
A0A518K4G9	A0A518K4G9_9BACT	unreviewed	Translational regulator CsrA	csrA Spa11_08740	Botrimarina mediterranea	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Pirellulales, Lacipirellulaceae, Botrimarina, Botrimarina mediterranea	Botrimarina	2528022
A4ACW6	A4ACW6_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA KT71_18866	Congregibacter litoralis KT71	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Cellvibrionales, Halieaceae, Congregibacter, Congregibacter litoralis, Congregibacter litoralis KT71	Congregibacter	314285
A0A517T3T7	A0A517T3T7_9PLAN	unreviewed	Translational regulator CsrA	csrA_1 csrA V22_02090	Calycomorphotria hydatis	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Calycomorphotria, Calycomorphotria hydatis	Calycomorphotria	2528027
A0A1W6LLU9	A0A1W6LLU9_9BACT	unreviewed	Translational regulator CsrA	csrA STSP1_01171	Sedimentisphaera salicampi	cellular organisms, Bacteria, PVC group, Planctomycetes, Phycisphaerae, Sedimentisphaerales, Sedimentisphaeraceae, Sedimentisphaera, Sedimentisphaera salicampi	Sedimentisphaera	1941349
D4H4A0	D4H4A0_DENA2	unreviewed	Translational regulator CsrA	csrA Dacet_2469	Denitrovibrio acetiphilus (strain DSM 12809 / NBRC 114555 / N2460)	cellular organisms, Bacteria, Deferribacteres, Deferribacteres, Deferribacterales, Deferribacteraceae, Denitrovibrio, Denitrovibrio acetiphilus, Denitrovibrio acetiphilus (strain DSM 12809 / NBRC 114555 / N2460)	Denitrovibrio	522772
Q7UG38	CSRA_RHOBA	reviewed	Translational regulator CsrA	csrA RB8149	Rhodopirellula baltica (strain DSM 10527 / NCIMB 13988 / SH1)	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Pirellulales, Pirellulaceae, Rhodopirellula, Rhodopirellula baltica, Rhodopirellula baltica (strain DSM 10527 / NCIMB 13988 / SH1)	Rhodopirellula	243090
A6VKD5	CSRA_ACTSZ	reviewed	Translational regulator CsrA (Carbon storage regulator)	csrA Asuc_0051	Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 / 130Z)	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Actinobacillus, Actinobacillus succinogenes, Actinobacillus succinogenes (strain ATCC 55618 / DSM 22257 / CCUG 43843 / 130Z)	Actinobacillus	339671
A0A142YAY1	A0A142YAY1_9PLAN	unreviewed	Translational regulator CsrA	csrA_1 csrA VT85_02770	Planctomyces sp. SH-PL62	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Planctomyces, unclassified Planctomyces, Planctomyces sp. SH-PL62	Planctomyces	1636152
A0A5E4PIY0	A0A5E4PIY0_9COXI	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA AQUSIP_15620	Aquicella siphonis	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Coxiellaceae, Aquicella, Aquicella siphonis	Aquicella	254247
Q5E7G3	CSRA_ALIF1	reviewed	Translational regulator CsrA (Carbon storage regulator)	csrA VF_0538	Aliivibrio fischeri (strain ATCC 700601 / ES114) (Vibrio fischeri)	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Aliivibrio, Aliivibrio fischeri (Vibrio fischeri), Aliivibrio fischeri (strain ATCC 700601 / ES114) (Vibrio fischeri)	Aliivibrio	312309
A0A1Q2L114	A0A1Q2L114_9BACL	unreviewed	Translational regulator CsrA	csrA B0X71_14270	Planococcus sp. Y42	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Planococcaceae, Planococcus, unclassified Planococcus, Planococcus sp. Y42	Planococcus	2213202
A0A5C5ZTK5	A0A5C5ZTK5_9BACT	unreviewed	Translational regulator CsrA	csrA Mal64_09640	Pseudobythopirellula maris	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Pirellulales, Lacipirellulaceae, Pseudobythopirellula, Pseudobythopirellula maris	Pseudobythopirellula	2527991
A0A6N8VTZ7	A0A6N8VTZ7_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA F4Y58_03060	Gammaproteobacteria bacterium	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, unclassified Gammaproteobacteria, Gammaproteobacteria bacterium		1913989
A0A3A9EUL8	A0A3A9EUL8_9BACT	unreviewed	Translational regulator CsrA	csrA D7X98_09260	bacterium 1XD8-76	cellular organisms, Bacteria, unclassified Bacteria, bacterium 1XD8-76		2320115
E6W4W3	E6W4W3_DESIS	unreviewed	Translational regulator CsrA	csrA Selin_0082	Desulfurispirillum indicum (strain ATCC BAA-1389 / DSM 22839 / S5)	cellular organisms, Bacteria, Chrysiogenetes, Chrysiogenetes, Chrysiogenales, Chrysiogenaceae, Desulfurispirillum, Desulfurispirillum indicum, Desulfurispirillum indicum (strain ATCC BAA-1389 / DSM 22839 / S5)	Desulfurispirillum	653733
A0A0V8QJQ0	A0A0V8QJQ0_9FIRM	unreviewed	Translational regulator CsrA	csrA ASU35_00090	Acetivibrio ethanolgignens	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Oscillospiraceae, Acetivibrio, Acetivibrio ethanolgignens	Acetivibrio	290052
A0A538BYN4	A0A538BYN4_9ACTN	unreviewed	Translational regulator CsrA	csrA E6G34_13700	Actinobacteria bacterium	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), unclassified Actinomycetia, Actinobacteria bacterium		1883427
A5F9C0	CSRA_VIBC3	reviewed	Translational regulator CsrA (Carbon storage regulator)	csrA VC0395_A0075 VC395_0565	Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395)	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio, Vibrio cholerae, Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395)	Vibrio	345073
B2A826	CSRA_NATTJ	reviewed	Translational regulator CsrA	csrA Nther_2232	Natranaerobius thermophilus (strain ATCC BAA-1301 / DSM 18059 / JW/NM-WN-LF)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Natranaerobiales, Natranaerobiaceae, Natranaerobius, Natranaerobius thermophilus, Natranaerobius thermophilus (strain ATCC BAA-1301 / DSM 18059 / JW/NM-WN-LF)	Natranaerobius	457570
A0A1Y6C7F4	A0A1Y6C7F4_9ALTE	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA SAMN02745866_02590	Alteromonadaceae bacterium Bs31	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, unclassified Alteromonadaceae, Alteromonadaceae bacterium Bs31		1304903
A0A0F2J5X1	A0A0F2J5X1_9BACT	unreviewed	Translational regulator CsrA	csrA MCHI_000506	Candidatus Magnetoovum chiemensis	cellular organisms, Bacteria, Nitrospirae, Nitrospira, Nitrospirales, Nitrospiraceae, Candidatus Magnetoovum, Candidatus Magnetoovum chiemensis	Candidatus Magnetoovum	1609970
A0A0E4HEC2	A0A0E4HEC2_9BACL	unreviewed	Translational regulator CsrA	csrA PRIO_6278	Paenibacillus riograndensis SBR5	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus, Paenibacillus sonchi group, Paenibacillus riograndensis, Paenibacillus riograndensis SBR5	Paenibacillus	1073571
A0A4U7NDI8	A0A4U7NDI8_9SPIR	unreviewed	Translational regulator CsrA	csrA EZH24_06660	Brachyspira catarrhinii	cellular organisms, Bacteria, Spirochaetes, Spirochaetia, Brachyspirales, Brachyspiraceae, Brachyspira, Brachyspira catarrhinii	Brachyspira	2528966
D9QTN7	D9QTN7_ACEAZ	unreviewed	Translational regulator CsrA	csrA Acear_0251	Acetohalobium arabaticum (strain ATCC 49924 / DSM 5501 / Z-7288)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Halanaerobiales, Halobacteroidaceae, Acetohalobium, Acetohalobium arabaticum, Acetohalobium arabaticum (strain ATCC 49924 / DSM 5501 / Z-7288)	Acetohalobium	574087
C7M282	C7M282_ACIFD	unreviewed	Translational regulator CsrA	csrA Afer_0211	Acidimicrobium ferrooxidans (strain DSM 10331 / JCM 15462 / NBRC 103882 / ICP)	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Acidimicrobiia, Acidimicrobiales, Acidimicrobiaceae, Acidimicrobium, Acidimicrobium ferrooxidans, Acidimicrobium ferrooxidans (strain DSM 10331 / JCM 15462 / NBRC 103882 / ICP)	Acidimicrobium	525909
A0A3B0C2V4	A0A3B0C2V4_9BACL	unreviewed	Translational regulator CsrA	csrA D7M11_22665	Paenibacillus ginsengarvi	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus, Paenibacillus ginsengarvi	Paenibacillus	400777
B8KF71	B8KF71_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA NOR53_1486	gamma proteobacterium NOR5-3	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, unclassified Gammaproteobacteria, gamma proteobacterium NOR5-3		566466
A0A6N6S5A4	A0A6N6S5A4_9BACT	unreviewed	Translational regulator CsrA	csrA F9K48_04860	Candidatus Brocadia sp.	cellular organisms, Bacteria, PVC group, Planctomycetes, Candidatus Brocadiae, Candidatus Brocadiales, Candidatus Brocadiaceae, Candidatus Brocadia, unclassified Candidatus Brocadia, Candidatus Brocadia sp.	Candidatus Brocadia	2172549
A0A221MAS0	A0A221MAS0_9BACI	unreviewed	Translational regulator CsrA	csrA CFK40_06725	Virgibacillus necropolis	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Virgibacillus, Virgibacillus necropolis	Virgibacillus	163877
I0GTT4	I0GTT4_SELRL	unreviewed	Translational regulator CsrA	csrA SELR_24630	Selenomonas ruminantium subsp. lactilytica (strain NBRC 103574 / TAM6421)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Negativicutes, Selenomonadales, Selenomonadaceae, Selenomonas, Selenomonas ruminantium, Selenomonas ruminantium subsp. lactilytica, Selenomonas ruminantium subsp. lactilytica (strain NBRC 103574 / TAM6421)	Selenomonas	927704
A0A162H1Z6	A0A162H1Z6_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA A3709_19070	Halioglobus sp. HI00S01	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Cellvibrionales, Halieaceae, Halioglobus, unclassified Halioglobus, Halioglobus sp. HI00S01	Halioglobus	1822214
P0DPC3	CSRA1_PSEPH	reviewed	Translational regulator CsrA1 (Carbon storage regulator 1) (Regulator of secondary metabolites RsmE)	csrA1 rsmE	Pseudomonas protegens (strain DSM 19095 / LMG 27888 / CFBP 6595 / CHA0)	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas fluorescens group (fluorescent pseudomonads), Pseudomonas protegens, Pseudomonas protegens (strain DSM 19095 / LMG 27888 / CFBP 6595 / CHA0)	Pseudomonas	1124983
A0A089YW18	A0A089YW18_9PSED	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA LT40_11100	Pseudomonas rhizosphaerae	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas rhizosphaerae	Pseudomonas	216142
A6LJL9	CSRA_THEM4	reviewed	Translational regulator CsrA	csrA Tmel_0246	Thermosipho melanesiensis (strain DSM 12029 / CIP 104789 / BI429)	cellular organisms, Bacteria, Thermotogae, Thermotogae, Thermotogales, Fervidobacteriaceae, Thermosipho, Thermosipho melanesiensis, Thermosipho melanesiensis (strain DSM 12029 / CIP 104789 / BI429)	Thermosipho	391009
A0A1C7DCM1	A0A1C7DCM1_9BACL	unreviewed	Translational regulator CsrA	csrA BBH88_02035	Planococcus antarcticus DSM 14505	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Planococcaceae, Planococcus, Planococcus antarcticus, Planococcus antarcticus DSM 14505	Planococcus	1185653
A0A0M6WP36	A0A0M6WP36_9FIRM	unreviewed	Translational regulator CsrA	csrA csrA_1 DW654_16245 DW707_06225 DW813_10770 DW914_10160 DWX81_06080 DWY29_11660 DWY96_12790 ERS852392_01355 ERS852444_00977 RIL183_22821	Roseburia inulinivorans	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Lachnospiraceae, Roseburia, Roseburia inulinivorans	Roseburia	360807
K0J561	K0J561_AMPXN	unreviewed	Translational regulator CsrA	csrA AXY_18890	Amphibacillus xylanus (strain ATCC 51415 / DSM 6626 / JCM 7361 / LMG 17667 / NBRC 15112 / Ep01)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Amphibacillus, Amphibacillus xylanus, Amphibacillus xylanus (strain ATCC 51415 / DSM 6626 / JCM 7361 / LMG 17667 / NBRC 15112 / Ep01)	Amphibacillus	698758
A0A411YCJ2	A0A411YCJ2_9ACTN	unreviewed	Translational regulator CsrA	csrA ER308_04830	Egibacter rhizosphaerae	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Nitriliruptoria, Egibacterales, Egibacteraceae, Egibacter, Egibacter rhizosphaerae	Egibacter	1670831
A0A1X7FRA0	A0A1X7FRA0_9BACI	unreviewed	Translational regulator CsrA	csrA B1B01_18760 BEH_23040 CJ485_16210 SAMN06296056_105217	Priestia filamentosa	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Priestia, Priestia filamentosa	Priestia	1402861
A0A024Q9Z5	A0A024Q9Z5_9BACI	unreviewed	Translational regulator CsrA	csrA BN990_01286	Virgibacillus massiliensis	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Virgibacillus, Virgibacillus massiliensis	Virgibacillus	1462526
A0A5C5XS16	A0A5C5XS16_9PLAN	unreviewed	Translational regulator CsrA	csrA_3 csrA Pan14r_51980	Crateriforma conspicua	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Crateriforma, Crateriforma conspicua	Crateriforma	2527996
A0A1H2QTN9	A0A1H2QTN9_9FIRM	unreviewed	Translational regulator CsrA	csrA SAMN05660923_00221	Tepidimicrobium xylanilyticum	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Tissierellia, Tissierellales, Tissierellaceae, Tepidimicrobium, Tepidimicrobium xylanilyticum	Tepidimicrobium	1123352
A0A7C6LHV3	A0A7C6LHV3_9FIRM	unreviewed	Translational regulator CsrA	csrA GXX29_05725	Firmicutes bacterium	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, unclassified Firmicutes sensu stricto, Firmicutes bacterium		1879010
A0A098YDH0	A0A098YDH0_9ACTN	unreviewed	Translational regulator CsrA	csrA IN07_01650	Modestobacter caceresii	cellular organisms, Bacteria, Terrabacteria group, Actinobacteria, Actinomycetia (high G+C Gram-positive bacteria), Geodermatophilales, Geodermatophilaceae, Modestobacter, Modestobacter caceresii	Modestobacter	1522368
A0A024P3P8	A0A024P3P8_9BACI	unreviewed	Translational regulator CsrA	csrA BN983_00929	Halobacillus karajensis	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Halobacillus, Halobacillus karajensis	Halobacillus	195088
F2JT56	F2JT56_CELLD	unreviewed	Translational regulator CsrA	csrA Clole_3592	Cellulosilyticum lentocellum (strain ATCC 49066 / DSM 5427 / NCIMB 11756 / RHM5) (Clostridium lentocellum)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Lachnospiraceae, Cellulosilyticum, Cellulosilyticum lentocellum, Cellulosilyticum lentocellum (strain ATCC 49066 / DSM 5427 / NCIMB 11756 / RHM5) (Clostridium lentocellum)	Cellulosilyticum	642492
A0A1Z5HCC7	A0A1Z5HCC7_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA bplSymb_SCF05803P006	Bathymodiolus platifrons methanotrophic gill symbiont	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, unclassified Gammaproteobacteria, Bathymodiolus platifrons methanotrophic gill symbiont		113268
A0A078KM44	A0A078KM44_9FIRM	unreviewed	Translational regulator CsrA	csrA CCDG5_0384	[Clostridium] cellulosi	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Oscillospiraceae, Oscillospiraceae incertae sedis, [Clostridium] cellulosi		29343
A0A2Z2P6F5	A0A2Z2P6F5_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA_4 csrA IMCC3135_26895	Granulosicoccus antarcticus IMCC3135	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Granulosicoccaceae, Granulosicoccus, Granulosicoccus antarcticus, Granulosicoccus antarcticus IMCC3135	Granulosicoccus	1192854
Q9K6V8	CSRA_ALKHC	reviewed	Translational regulator CsrA	csrA BH3617	Alkalihalobacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans)	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Alkalihalobacillus, Alkalihalobacillus halodurans (Bacillus halodurans), Alkalihalobacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans)	Alkalihalobacillus	272558
A0A0S4PGD2	A0A0S4PGD2_9BACT		Deleted.					
Q12PX6	CSRA_SHEDO	reviewed	Translational regulator CsrA (Carbon storage regulator)	csrA Sden_1214	Shewanella denitrificans (strain OS217 / ATCC BAA-1090 / DSM 15013)	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Shewanellaceae, Shewanella, Shewanella denitrificans, Shewanella denitrificans (strain OS217 / ATCC BAA-1090 / DSM 15013)	Shewanella	318161
A0A6N6JUW1	A0A6N6JUW1_9BACT	unreviewed	Translational regulator CsrA	csrA EDM80_02925	bacterium	cellular organisms, Bacteria, unclassified Bacteria, bacterium		1869227
A7HN71	CSRA_FERNB	reviewed	Translational regulator CsrA	csrA Fnod_1511	Fervidobacterium nodosum (strain ATCC 35602 / DSM 5306 / Rt17-B1)	cellular organisms, Bacteria, Thermotogae, Thermotogae, Thermotogales, Fervidobacteriaceae, Fervidobacterium, Fervidobacterium nodosum, Fervidobacterium nodosum (strain ATCC 35602 / DSM 5306 / Rt17-B1)	Fervidobacterium	381764
W4F4T7	W4F4T7_9BACL	unreviewed	Translational regulator CsrA	csrA C176_02983	Viridibacillus arenosi FSL R5-213	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Planococcaceae, Viridibacillus, Viridibacillus arenosi, Viridibacillus arenosi FSL R5-213	Viridibacillus	1227360
A0A0P6X8B0	A0A0P6X8B0_9CHLR	unreviewed	Translational regulator CsrA	csrA ADN00_17115	Ornatilinea apprima	cellular organisms, Bacteria, Terrabacteria group, Chloroflexi, Anaerolineae, Anaerolineales, Anaerolineaceae, Ornatilinea, Ornatilinea apprima	Ornatilinea	1134406
Q886F0	CSRA1_PSESM	reviewed	Translational regulator CsrA 1 (Carbon storage regulator 1)	csrA1 csrA-1 PSPTO_1629	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas syringae group, Pseudomonas syringae group genomosp. 3, Pseudomonas syringae pv. tomato, Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	Pseudomonas	223283
B5YIW4	B5YIW4_THEYD	unreviewed	Translational regulator CsrA	csrA THEYE_A2051	Thermodesulfovibrio yellowstonii (strain ATCC 51303 / DSM 11347 / YP87)	cellular organisms, Bacteria, Nitrospirae, Thermodesulfovibrionia, Thermodesulfovibrionales, Thermodesulfovibrionaceae, Thermodesulfovibrio, Thermodesulfovibrio yellowstonii, Thermodesulfovibrio yellowstonii (strain ATCC 51303 / DSM 11347 / YP87)	Thermodesulfovibrio	289376
A0A510IUE1	A0A510IUE1_9GAMM	unreviewed	Translational regulator CsrA (Carbon storage regulator)	csrA_8 csrA GL2_26100	Microbulbifer sp. GL-2	cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Cellvibrionales, Microbulbiferaceae, Microbulbifer, unclassified Microbulbifer, Microbulbifer sp. GL-2	Microbulbifer	2591606
A0A517VP96	A0A517VP96_9PLAN	unreviewed	Translational regulator CsrA	csrA_1 csrA V144x_02240 V202x_02220	Gimesia aquarii	cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Planctomycetales, Planctomycetaceae, Gimesia, Gimesia aquarii	Gimesia	2527964
A0A3C0V8T4	A0A3C0V8T4_9BACT	unreviewed	Translational regulator CsrA	csrA DCP24_13050 DHW81_04155	Nitrospiraceae bacterium	cellular organisms, Bacteria, Nitrospirae, Nitrospira, Nitrospirales, Nitrospiraceae, unclassified Nitrospiraceae, Nitrospiraceae bacterium		2026770
A0A1M6L5S4	A0A1M6L5S4_9CLOT	unreviewed	Translational regulator CsrA	csrA SAMN02745912_00670	Paramaledivibacter caminithermalis DSM 15212	cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Paramaledivibacter, Paramaledivibacter caminithermalis, Paramaledivibacter caminithermalis DSM 15212	Paramaledivibacter	1121301
